Company Name,Address,Lat,Long,Logo_URL
Apple Inc.,"1 Apple Park Way, Cupertino, CA 95014",37.334722,-122.009056,https://img.logo.dev/apple.com?token=YOUR-LOGODEV-TOKEN
Google (Alphabet Inc.),"1600 Amphitheatre Parkway, Mountain View, CA 94043",37.422,-122.084,https://img.logo.dev/google.com?token=YOUR-LOGODEV-TOKEN
Meta Platforms Inc.,"1 Hacker Way, Menlo Park, CA 94025",37.485,-122.148,https://img.logo.dev/meta.com?token=YOUR-LOGODEV-TOKEN
Tesla Inc.,"3500 Deer Creek Rd, Palo Alto, CA 94304",37.394,-122.15,https://img.logo.dev/tesla.com?token=YOUR-LOGODEV-TOKEN
Netflix Inc.,"100 Winchester Circle, Los Gatos, CA 95032",37.252,-121.962,https://img.logo.dev/netflix.com?token=YOUR-LOGODEV-TOKEN
NVIDIA Corporation,"2788 San Tomas Expressway, Santa Clara, CA 95051",37.37,-121.964,https://img.logo.dev/nvidia.com?token=YOUR-LOGODEV-TOKEN
Intel Corporation,"2200 Mission College Blvd, Santa Clara, CA 95054",37.387,-121.963,https://img.logo.dev/intel.com?token=YOUR-LOGODEV-TOKEN
Salesforce Inc.,"50 Fremont St, San Francisco, CA 94105",37.791,-122.397,https://img.logo.dev/salesforce.com?token=YOUR-LOGODEV-TOKEN
Oracle Corporation,"2300 Oracle Way, Austin, TX 78741",37.532,-122.262,https://img.logo.dev/oracle.com?token=YOUR-LOGODEV-TOKEN
Cisco Systems Inc.,"170 West Tasman Dr, San Jose, CA 95134",37.408,-121.938,https://img.logo.dev/cisco.com?token=YOUR-LOGODEV-TOKEN
Uber Technologies Inc.,"1725 3rd St, San Francisco, CA 94158",37.768,-122.389,https://img.logo.dev/uber.com?token=YOUR-LOGODEV-TOKEN
Airbnb Inc.,"888 Brannan St, San Francisco, CA 94103",37.77,-122.405,https://img.logo.dev/airbnb.com?token=YOUR-LOGODEV-TOKEN
Twitter Inc. (X Corp),"1355 Market St, San Francisco, CA 94103",37.777,-122.417,https://img.logo.dev/x.com?token=YOUR-LOGODEV-TOKEN
Square Inc. (Block Inc.),"1455 Market St, San Francisco, CA 94103",37.775,-122.418,https://img.logo.dev/squareup.com?token=YOUR-LOGODEV-TOKEN
Zoom Video Communications,"55 Almaden Blvd, San Jose, CA 95113",37.337,-121.89,https://img.logo.dev/zoom.us?token=YOUR-LOGODEV-TOKEN
Adobe Inc.,"345 Park Ave, San Jose, CA 95110",37.331,-121.893,https://img.logo.dev/adobe.com?token=YOUR-LOGODEV-TOKEN
PayPal Holdings Inc.,"2211 North 1st St, San Jose, CA 95131",37.39,-121.918,https://img.logo.dev/paypal.com?token=YOUR-LOGODEV-TOKEN
eBay Inc.,"2025 Hamilton Ave, San Jose, CA 95125",37.302,-121.936,https://img.logo.dev/ebay.com?token=YOUR-LOGODEV-TOKEN
LinkedIn Corporation,"1000 W Maude Ave, Sunnyvale, CA 94085",37.373,-122.037,https://img.logo.dev/linkedin.com?token=YOUR-LOGODEV-TOKEN
Workday Inc.,"6110 Stoneridge Mall Rd, Pleasanton, CA 94588",37.695,-121.924,https://img.logo.dev/workday.com?token=YOUR-LOGODEV-TOKEN
Deel,"425 1st St, San Francisco, CA 94105",37.789,-122.397,https://img.logo.dev/deel.com?token=YOUR-LOGODEV-TOKEN
Cowbell,"101 California St, San Francisco, CA 94111",37.793,-122.398,https://img.logo.dev/cowbell.insure?token=YOUR-LOGODEV-TOKEN
Observe,"548 Market St, San Francisco, CA 94104",37.79,-122.399,https://img.logo.dev/observeinc.com?token=YOUR-LOGODEV-TOKEN
Wisetack,"140 2nd St, San Francisco, CA 94105",37.787,-122.398,https://img.logo.dev/wisetack.com?token=YOUR-LOGODEV-TOKEN
Rad AI,"870 Market St, San Francisco, CA 94102",37.784,-122.408,https://img.logo.dev/radai.com?token=YOUR-LOGODEV-TOKEN
Benchling,"430 E 29th St, New York, NY 10016",37.781,-122.406,https://img.logo.dev/benchling.com?token=YOUR-LOGODEV-TOKEN
Sensor Tower,"1 Russ St, San Francisco, CA 94103",37.78,-122.405,https://img.logo.dev/sensortower.com?token=YOUR-LOGODEV-TOKEN
